Diameter_cm,Longitude,Latitude,Height_m,Volume_cum,SubPlot,x2,x3,DBHClass,Diameter_in,Height_ft,Volume_cuft,CC
28,1331,3127,18,0.55,B1,99,0,3,11.02362205,59.05512,19.42306669,S
51,1331,4501,19.8,2.083,A1,62,0,5,20.07874016,64.960632,73.56045076,S
30,1333,2301,19.5,0.748,C1,87,0,3,11.81102362,63.97638,26.4153707,S
57,1333,4622,29.6,3.047,A1,44,0,6,22.44094488,97.112864,107.6037895,D
35,1339,2376,30.8,1.378,C1,88,0,4,13.77952756,101.049872,48.66361073,D
26,1339,3029,14.6,0.379,B1,102,0,3,10.23622047,47.900264,13.38425868,S
39,1343,1533,25.3,1.445,D1,64,0,4,15.35433071,83.005252,51.0296934,D
40,1343,4021,19.8,1.131,A1,110,0,4,15.7480315,64.960632,39.94088805,S
27,1344,3732,19.2,0.55,B1,40,0,3,10.62992126,62.992128,19.42306669,S
27,1346,3952,16.6,0.42,B1,8,0,3,10.62992126,54.461944,14.83216002,S
28,1347,1365,21.6,0.643,D1,101,5,3,11.02362205,70.866144,22.7073307,D
48,1347,1487,19.8,1.52,D1,65,5,5,18.8976378,64.960632,53.6782934,S
45,1348,3010,31,2.327,B1,101,0,5,17.71653543,101.70604,82.17722944,D
41,1349,4137,21.5,1.159,A1,109,0,4,16.14173228,70.53806,40.92969872,D
87,1349,4966,52.7,10.309,A1,9,0,9,34.2519685,172.900268,364.0588991,D
33,1353,4473,22.9,0.821,A1,63,0,3,12.99212598,75.131236,28.99334137,D
25,1356,3501,17.1,0.373,B1,60,0,3,9.842519685,56.102364,13.17237068,S
41,1360,2452,24.7,1.201,C1,52,0,4,16.14173228,81.036748,42.41291472,D
41,1360,3090,18.9,1.22,B1,100,4,4,16.14173228,62.007876,43.08389339,S
26,1363,3914,18.9,0.421,B1,11,4,3,10.23622047,62.007876,14.86747469,S
42,1364,1343,19.8,1.196,D1,98,14,4,16.53543307,64.960632,42.23634139,S
25,1364,2208,17.4,0.407,C1,86,0,3,9.842519685,57.086616,14.37306935,S
37,1366,3730,21,0.919,B1,37,0,4,14.56692913,68.89764,32.45417871,D
75,1370,3478,38.3,4.761,B1,59,8,8,29.52755906,125.656172,168.1331282,D
34,1375,1832,21.6,0.866,D1,13,0,3,13.38582677,70.866144,30.58250137,D
73,1378,3949,27.4,4.966,B1,9,0,7,28.74015748,89.895016,175.3726349,D
36,1388,3641,18.3,0.592,B1,36,0,4,14.17322835,60.039372,20.90628269,S
26,1389,4858,18,0.343,A1,12,0,3,10.23622047,59.05512,12.11293068,S
34,1396,4610,19.2,0.939,A1,43,0,3,13.38582677,62.992128,33.16047204,S
29,1398,3550,16.2,0.492,B1,61,0,3,11.41732283,53.149608,17.37481602,S
49,1399,1134,34.4,2.675,D1,126,0,5,19.29133858,112.860896,94.46673345,D
31,1399,4914,24,0.825,A1,10,0,3,12.20472441,78.74016,29.13460004,D
27,1401,4995,17.4,0.327,A1,11,0,3,10.62992126,57.086616,11.54789601,S
39,1402,1808,19.2,0.765,D1,15,0,4,15.35433071,62.992128,27.01572003,S
44,1402,3797,22.9,1.483,B1,35,0,4,17.32283465,75.131236,52.37165073,D
34,1404,4398,18.9,0.753,A1,93,0,3,13.38582677,62.007876,26.59194403,S
27,1405,1085,19.2,0.567,D1,127,0,3,10.62992126,62.992128,20.02341603,S
78,1406,1228,38.5,4.927,D1,97,0,8,30.70866142,126.31234,173.9953629,D
29,1406,3310,19.2,0.535,B1,86,0,3,11.41732283,62.992128,18.89334669,S
75,1409,3937,34,4.798,B1,10,2,8,29.52755906,111.54856,169.4397709,D
31,1410,1539,22.9,0.834,D1,66,0,3,12.20472441,75.131236,29.45243204,D
46,1411,2271,30.8,2.241,C1,84,0,5,18.11023622,101.049872,79.1401681,D
39,1411,2959,22.6,1.157,C1,9,0,4,15.35433071,74.146984,40.85906939,D
93,1411,2972,48.2,11.904,C1,8,0,9,36.61417323,158.136488,420.3857925,D
38,1417,4268,21.9,1.301,A1,92,0,4,14.96062992,71.850396,45.94438139,D
28,1420,2019,22.6,0.598,C1,107,0,3,11.02362205,74.146984,21.11817069,D
47,1422,1814,22.6,2.024,D1,14,0,5,18.50393701,74.146984,71.47688542,D
26,1425,2300,19.2,0.491,C1,83,0,3,10.23622047,62.992128,17.33950136,S
52,1427,4115,22.3,2.036,A1,111,0,5,20.47244094,73.162732,71.90066142,D
26,1427,4444,22.3,0.421,A1,64,0,3,10.23622047,73.162732,14.86747469,D
94,1429,2727,56,12.966,C1,33,0,9,37.00787402,183.72704,457.8899686,D
75,1429,3088,53.6,8.474,B1,103,0,8,29.52755906,175.853024,299.2564857,D
26,1436,3749,16.8,0.355,B1,32,14,3,10.23622047,55.118112,12.53670668,S
39,1440,1218,25,1.292,D1,96,0,4,15.35433071,82.021,45.62654939,D
53,1441,4704,22.6,1.903,A1,41,0,5,20.86614173,74.146984,67.20381075,D
37,1442,4696,26.5,1.583,A1,42,12,4,14.56692913,86.94226,55.9031174,D
37,1448,1393,18.9,0.717,D1,95,4,4,14.56692913,62.007876,25.32061603,S
26,1448,3983,22.6,0.557,B1,14,0,3,10.23622047,74.146984,19.67026936,D
27,1449,1834,19.2,0.444,D1,16,0,3,10.62992126,62.992128,15.67971202,S
37,1450,4011,24.7,1.15,A1,112,0,4,14.56692913,81.036748,40.61186672,D
95,1452,2470,58.8,14.044,C1,53,0,10,37.4015748,192.913392,495.9591793,D
50,1459,3662,18.3,1.46,B1,34,0,5,19.68503937,60.039372,51.5594134,S
36,1462,1523,25.6,0.917,D1,68,0,4,14.17322835,83.989504,32.38354937,D
54,1463,1752,19.8,2.071,D1,48,3,5,21.25984252,64.960632,73.13667476,S
46,1468,4399,21,1.373,A1,91,0,5,18.11023622,68.89764,48.48703739,D
26,1470,1944,13.7,0.321,D1,20,0,3,10.23622047,44.947508,11.33600801,S
29,1472,4493,26.2,0.789,A1,65,0,3,11.41732283,85.958008,27.86327204,D
29,1480,2529,22.9,0.727,C1,54,0,3,11.41732283,75.131236,25.6737627,D
45,1487,2588,15.8,1.058,C1,55,0,5,17.71653543,51.837272,37.36291738,S
43,1488,2212,34.4,2.248,C1,82,14,4,16.92913386,112.860896,79.38737077,D
47,1488,3188,19.2,1.1,B1,105,0,5,18.50393701,62.992128,38.84613338,S
25,1498,1122,15.2,0.287,D1,128,5,3,9.842519685,49.868768,10.13530935,S
31,1498,1156,14.6,0.448,D1,130,5,3,12.20472441,47.900264,15.82097069,S
47,1499,3829,25,1.521,B1,13,0,5,18.50393701,82.021,53.71360807,D
56,1499,4968,29.6,3.388,A1,14,0,6,22.04724409,97.112864,119.6460908,D
40,1500,4859,21,1.293,A1,13,0,4,15.7480315,68.89764,45.66186406,D
34,1501,1347,24.4,0.885,D1,94,0,3,13.38582677,80.052496,31.25348004,D
35,1502,4408,18,0.81,A1,68,0,4,13.77952756,59.05512,28.60488004,S
25,1503,1106,18.9,0.363,D1,129,0,3,9.842519685,62.007876,12.81922402,S
31,1503,2100,17.7,0.538,C1,108,0,3,12.20472441,58.070868,18.99929069,S
26,1503,3113,20.1,0.545,B1,107,4,3,10.23622047,65.944884,19.24649336,D
35,1503,3195,28.3,1.208,B1,106,0,4,13.77952756,92.847772,42.66011739,D
29,1503,4176,20.7,0.648,A1,113,0,3,11.41732283,67.913388,22.88390403,D
30,1508,4452,17.1,0.515,A1,66,0,3,11.81102362,56.102364,18.18705336,S
49,1509,1294,20.4,1.838,D1,93,0,5,19.29133858,66.929136,64.90835742,D
39,1509,1844,24.4,1.343,D1,17,0,4,15.35433071,80.052496,47.42759739,D
26,1510,4632,17.4,0.512,A1,40,0,3,10.23622047,57.086616,18.08110936,S
34,1514,4680,21.9,1.097,A1,38,0,3,13.38582677,71.850396,38.74018938,D
26,1517,4674,16.3,0.319,A1,39,0,3,10.23622047,53.477692,11.26537868,S
42,1521,1937,34.2,2.069,D1,19,0,4,16.53543307,112.204728,73.06604543,D
30,1522,2300,21.3,0.662,C1,81,0,3,11.81102362,69.881892,23.37830936,D
62,1530,2779,29,4.718,C1,32,0,6,24.40944882,95.14436,166.6145975,D
28,1534,2391,23.5,0.483,C1,85,0,3,11.02362205,77.09974,17.05698402,D
31,1536,1769,23.5,0.883,D1,46,0,3,12.20472441,77.09974,31.18285071,D
52,1540,1672,24.8,2.555,D1,47,0,5,20.47244094,81.364832,90.22897345,D
26,1540,1914,13.1,0.329,D1,21,0,3,10.23622047,42.979004,11.61852535,S
58,1543,3489,40.7,4.081,B1,64,0,6,22.83464567,133.530188,144.1191548,D
68,1546,1052,34.5,3.593,D1,132,8,4,26.77165354,113.18898,126.8855975,D
27,1548,3785,24.1,0.72,B1,31,0,3,10.62992126,79.068244,25.42656003,D
38,1549,2776,22.3,1.119,C1,31,0,4,14.96062992,73.162732,39.51711205,D
42,1549,3952,19.2,1.484,B1,15,0,4,16.53543307,62.992128,52.4069654,S
27,1550,2135,15.2,0.365,C1,109,0,3,10.62992126,49.868768,12.88985335,S
58,1551,1418,35.5,2.84,D1,72,0,6,22.83464567,116.46982,100.2936535,D
65,1552,4533,40.6,5.144,A1,67,0,7,25.59055118,133.202104,181.6586456,D
29,1553,1578,23.8,0.63,D1,69,0,3,11.41732283,78.083992,22.24824003,D
39,1554,1485,27.4,1.222,D1,71,0,4,15.35433071,89.895016,43.15452272,D
62,1558,4968,46.7,5.315,A1,15,0,6,24.40944882,153.215228,187.6974536,D
